listing_id,name,brand,category,price,rating,review_count
32,Sonyx Laptop Stand,Sonyx,electronics,213.77,4.9,756
33,Norden Ceramic Dinner Set,Norden,home-goods,125.34,2.9,3368
34,TrailBlaze Cycling Helmet,Trailblaze,sports-outdoors,20.61,4.2,2776
35,Brightek Wireless Mouse,Brightek,electronics,100.57,4.2,18
36,Cascade Ceramic Dinner Set,Cascade,home-goods,143.0,4.9,3576
38,PeakForm Hiking Backpack 40L,Peakform,sports-outdoors,202.76,4.5,445
39,Norden Desk Lamp,Norden,home-goods,164.0,3.2,4032
40,Cascade Throw Blanket,Cascade,home-goods,212.11,4.0,3586
41,Cascade Stand Mixer,Cascade,home-goods,72.46,4.1,538
42,Vantage Portable SSD 1TB,Vantage,electronics,301.0,4.7,3193
44,Brightek Bluetooth Speaker,Brightek,electronics,318.21,4.4,2539
45,Hearth&Co Ceramic Dinner Set,Hearth&Co,home-goods,53.65,3.9,1805
46,Sonyx Smart Watch,Sonyx,electronics,290.98,3.0,0
47,Vantage Wireless Earbuds,Vantage,electronics,250.2,4.0,1483
48,PeakForm Cycling Helmet,Peakform,sports-outdoors,75.15,4.2,171
49,Vantage 4K Monitor,Vantage,electronics,20.25,3.2,2312
50,Summit Gear Foam Roller,Summit Gear,sports-outdoors,179.91,4.8,567
51,TrailBlaze Adjustable Dumbbells,Trailblaze,sports-outdoors,362.06,3.4,834
55,PeakForm Resistance Bands Set,Peakform,sports-outdoors,218.26,2.9,919
56,Vantage USB-C Hub,Vantage,electronics,279.72,3.1,1162
57,Vertex Yoga Mat,Vertex,sports-outdoors,123.09,2.9,3918
60,Hearth&Co Air Purifier,Hearth&Co,home-goods,174.0,3.4,2195
62,Brightek Mechanical Keyboard,Brightek,electronics,79.62,3.6,2986
63,Vantage Mechanical Keyboard,Vantage,electronics,59.45,3.4,1325
64,Sonyx USB-C Hub,Sonyx,electronics,399.2,3.2,348
65,Hearth&Co Desk Lamp,Hearth&Co,home-goods,203.65,4.4,658
66,Maple Row Scented Candle Set,Maple Row,home-goods,86.09,2.8,2395
67,Norden Throw Blanket,Norden,home-goods,10.0,5.0,2285
68,Vertex Insulated Water Bottle,Vertex,sports-outdoors,65.78,4.3,2651
69,Cascade Wall Clock,Cascade,home-goods,88.0,3.7,2281
72,Vertex Cycling Helmet,Vertex,sports-outdoors,231.05,3.2,2630
73,Lumen Desk Lamp,Lumen,home-goods,180.21,2.9,2940
75,Orbis Laptop Stand,Orbis,electronics,,4.4,2496
76,Ironclad Foam Roller,Ironclad,sports-outdoors,150.0,3.0,3448
79,Hearth&Co Memory Foam Pillow,Hearth&Co,home-goods,,4.5,3880
80,Orbis Power Bank 20000mAh,Orbis,electronics,136.61,3.6,4081
81,Sonyx Wireless Earbuds,Sonyx,electronics,254.71,4.0,1831
84,Brightek Noise Cancelling Headphones,Brightek,electronics,74.65,3.8,597
85,Hearth&Co Throw Blanket,Hearth&Co,home-goods,57.0,4.9,0
86,Vantage Power Bank 20000mAh,Vantage,electronics,196.04,3.1,2717
87,Sonyx 4K Monitor,Sonyx,electronics,229.76,3.4,2031
88,Vertex Foam Roller,Vertex,sports-outdoors,135.54,3.8,1508
91,Orbis USB-C Hub,Orbis,electronics,278.67,3.4,4165
94,Ironclad Adjustable Dumbbells,Ironclad,sports-outdoors,65.0,3.6,701
96,Orbis 4K Monitor,Orbis,electronics,428.35,4.4,3743
97,Hearth&Co Cast Iron Skillet,Hearth&Co,home-goods,68.76,4.9,1016
98,Vantage Laptop Stand,Vantage,electronics,115.37,3.8,3136
101,Lumen Cast Iron Skillet,Lumen,home-goods,88.27,3.2,2986
102,Vantage Webcam,Vantage,electronics,191.04,2.9,1066
103,TrailBlaze Resistance Bands Set,Trailblaze,sports-outdoors,359.0,3.5,3187
104,Maple Row Stand Mixer,Maple Row,home-goods,181.0,3.9,74
105,Vertex Sleeping Bag,Vertex,sports-outdoors,22.65,4.6,3317
107,Summit Gear Sleeping Bag,Summit Gear,sports-outdoors,294.4,3.0,3871
108,PeakForm Running Shoes,Peakform,sports-outdoors,245.33,3.3,3184
110,Hearth&Co Storage Ottoman,Hearth&Co,home-goods,145.44,3.6,3638
111,Cascade Storage Ottoman,Cascade,home-goods,163.94,3.3,2386
113,Hearth&Co Stand Mixer,Hearth&Co,home-goods,65.63,3.0,4086
115,Maple Row Ceramic Dinner Set,Maple Row,home-goods,97.12,3.4,2134
116,Brightek Webcam,Brightek,electronics,61.23,3.8,4058
120,Cascade Bath Towel Set,Cascade,home-goods,132.35,,3663
123,TrailBlaze Yoga Mat,Trailblaze,sports-outdoors,379.0,4.2,1012
125,Ironclad Insulated Water Bottle,Ironclad,sports-outdoors,223.02,4.6,1899
126,Ironclad Sleeping Bag,Ironclad,sports-outdoors,217.1,3.5,3458
127,Norden Air Purifier,Norden,home-goods,49.53,3.4,2017
135,Orbis Wireless Earbuds,Orbis,electronics,104.59,3.7,2576
138,Maple Row Cast Iron Skillet,Maple Row,home-goods,23.0,3.4,517
139,Norden Stand Mixer,Norden,home-goods,26.59,4.5,2028
140,Lumen Electric Kettle,Lumen,home-goods,73.0,2.9,3957
142,PeakForm Insulated Water Bottle,Peakform,sports-outdoors,241.59,3.7,3235
144,Vertex Camping Tent 2P,Vertex,sports-outdoors,325.11,4.2,3721
145,Vertex Resistance Bands Set,Vertex,sports-outdoors,182.65,4.3,220
146,Orbis Portable SSD 1TB,Orbis,electronics,287.89,4.6,1144
147,Cascade Desk Lamp,Cascade,home-goods,138.19,3.5,2255
148,Orbis Smart Watch,Orbis,electronics,432.94,4.8,1875
149,Nexlon Portable SSD 1TB,Nexlon,electronics,,3.5,2924
